[190.  682.5],[3.1920000e+03 9.8245614e-01]
[436.02169902 714.53501997],[7.30686654e+03 9.64977685e-01]
[436.0059355  714.53087744],[7.30929730e+03 9.65344811e-01]
[436.00015038 714.52722402],[7.3100283e+03 9.6548203e-01]
[435.99817539 714.52400247],[7.31012896e+03 9.65531194e-01]
[435.99763752 714.52116197],[7.31000834e+03 9.65546891e-01]
[435.9976266  714.51865756],[7.30982136e+03 9.65550081e-01]
[435.9977954  714.51644951],[7.30962544e+03 9.65548789e-01]
[435.99801297 714.51450278],[7.30944071e+03 9.65546065e-01]
[435.6678797  714.51278646],[7.25178778e+03 9.57949320e-01]
[435.87480848 714.51127327],[7.28760571e+03 9.62697612e-01]
[435.95342691 714.50993918],[7.30112620e+03 9.64498518e-01]
[435.98354317 714.50876298],[7.30622244e+03 9.65184837e-01]
[435.99497209 714.507726  ],[7.30808284e+03 9.65442151e-01]
[435.99921757 714.50681174],[7.30870827e+03 9.65534955e-01]
[435.67039747 714.83640611],[7.3064671e+03 9.5075082e-01]
[435.87753222 714.95987681],[7.36349132e+03 9.52773570e-01]
[435.62594472 715.00488972],[7.32677936e+03 9.46064654e-01]
[435.53106296 715.34967959],[7.25779271e+03 9.50696165e-01]
[435.49674615 715.47796106],[7.23169133e+03 9.52540882e-01]
[435.48537663 715.52295211],[7.22209993e+03 9.53274104e-01]
[435.48259809 715.53652621],[7.21877552e+03 9.53577222e-01]
[435.48293071 715.53846342],[7.21781246e+03 9.53712570e-01]
[435.48429166 715.53631156],[7.21771916e+03 9.53781150e-01]
[435.81650874 715.53293071],[7.27544683e+03 9.61423074e-01]
[435.94211849 716.19041499],[7.29732273e+03 9.64303360e-01]
[435.98914723 716.43589276],[7.30555658e+03 9.65373473e-01]
[435.67602736 716.52379495],[7.25113621e+03 9.58163237e-01]
[435.88754038 716.55186568],[7.28799159e+03 9.63015193e-01]
[435.63709961 716.55760497],[7.35924875e+03 9.72414314e-01]
[435.21327445 716.88579898],[7.38448733e+03 9.61076552e-01]
[435.05258225 717.00544833],[7.39329884e+03 9.56783184e-01]
[434.99426567 717.04581116],[7.39621723e+03 9.55165646e-01]
[434.97489029 717.05620969],[7.39690853e+03 9.54571807e-01]
[434.9701359  717.05567404],[7.39678894e+03 9.54368215e-01]
